"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,Q1,,"229,000 ",,"244,000 ",,"243,000 ",,"180,000 ",,"286,000 ",,,,,,,,,,,,,,,
,,Q2,,"242,000 ",,"244,000 ",,"245,000 ",,"189,000 ",,"285,000 ",,,,,,,,,,,,,,,
,,Q3,,"243,000 ",,"261,000 ",,"260,000 ",,"196,000 ",,"302,000 ",,,,,,,,,,,,,,,
,,Q4,,"245,000 ",,"256,000 ",,"255,000 ",,"193,000 ",,"296,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"263,000 ",,"260,000 ",,"260,000 ",,"196,000 ",,"305,000 ",,,,,,,,,,,,,,,
,,Q2,,"279,000 ",,"264,000 ",,"264,000 ",,"201,000 ",,"308,000 ",,,,,,,,,,,,,,,
,,Q3,,"282,000 ",,"278,000 ",,"278,000 ",,"209,000 ",,"324,000 ",,,,,,,,,,,,,,,
,,Q4,,"269,000 ",,"267,000 ",,"266,000 ",,"202,000 ",,"312,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"267,000 ",,"270,000 ",,"270,000 ",,"202,000 ",,"321,000 ",,,,,,,,,,,,,,,
,,Q2,,"277,000 ",,"265,000 ",,"267,000 ",,"201,000 ",,"319,000 ",,,,,,,,,,,,,,,
,,Q3,,"282,000 ",,"289,000 ",,"288,000 ",,"208,000 ",,"345,000 ",,,,,,,,,,,,,,,
,,Q4,,"279,000 ",,"284,000 ",,"281,000 ",,"205,000 ",,"339,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"289,000 ",,"294,000 ",,"293,000 ",,"211,000 ",,"355,000 ",,,,,,,,,,,,,,,
,,Q2,,"283,000 ",,"266,000 ",,"268,000 ",,"207,000 ",,"330,000 ",,,,,,,,,,,,,,,
,,Q3,,"287,000 ",,"286,000 ",,"286,000 ",,"214,000 ",,"351,000 ",,,,,,,,,,,,,,,
