"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,Q1,,"138,000 ",,"110,000 ",,"113,000 ",,"85,000 ",,"134,000 ",,,,,,,,,,,,,,,
,,Q2,,"139,000 ",,"117,000 ",,"119,000 ",,"88,000 ",,"141,000 ",,,,,,,,,,,,,,,
,,Q3,,"147,000 ",,"122,000 ",,"124,000 ",,"93,000 ",,"146,000 ",,,,,,,,,,,,,,,
,,Q4,,"147,000 ",,"117,000 ",,"120,000 ",,"93,000 ",,"137,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"153,000 ",,"118,000 ",,"121,000 ",,"96,000 ",,"133,000 ",,,,,,,,,,,,,,,
,,Q2,,"163,000 ",,"131,000 ",,"134,000 ",,"106,000 ",,"145,000 ",,,,,,,,,,,,,,,
,,Q3,,"177,000 ",,"142,000 ",,"145,000 ",,"119,000 ",,"158,000 ",,,,,,,,,,,,,,,
,,Q4,,"178,000 ",,"142,000 ",,"145,000 ",,"119,000 ",,"156,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"177,000 ",,"142,000 ",,"144,000 ",,"113,000 ",,"153,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"150,000 ",,"153,000 ",,"118,000 ",,"164,000 ",,,,,,,,,,,,,,,
,,Q3,,"216,000 ",,"172,000 ",,"174,000 ",,"123,000 ",,"185,000 ",,,,,,,,,,,,,,,
,,Q4,,"214,000 ",,"175,000 ",,"177,000 ",,"127,000 ",,"187,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"218,000 ",,"177,000 ",,"179,000 ",,"129,000 ",,"191,000 ",,,,,,,,,,,,,,,
,,Q2,,"222,000 ",,"186,000 ",,"189,000 ",,"138,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q3,,"230,000 ",,"198,000 ",,"201,000 ",,"145,000 ",,"212,000 ",,,,,,,,,,,,,,,
,,Q4,,"219,000 ",,"195,000 ",,"198,000 ",,"146,000 ",,"210,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"225,000 ",,"196,000 ",,"199,000 ",,"147,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q2,,"226,000 ",,"199,000 ",,"202,000 ",,"153,000 ",,"213,000 ",,,,,,,,,,,,,,,
,,Q3,,"227,000 ",,"209,000 ",,"211,000 ",,"155,000 ",,"228,000 ",,,,,,,,,,,,,,,
,,Q4,,"224,000 ",,"197,000 ",,"198,000 ",,"143,000 ",,"233,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"231,000 ",,"202,000 ",,"203,000 ",,"145,000 ",,"238,000 ",,,,,,,,,,,,,,,
,,Q2,,"230,000 ",,"208,000 ",,"209,000 ",,"152,000 ",,"242,000 ",,,,,,,,,,,,,,,
,,Q3,,"227,000 ",,"223,000 ",,"223,000 ",,"159,000 ",,"259,000 ",,,,,,,,,,,,,,,
,,Q4,,"227,000 ",,"221,000 ",,"221,000 ",,"158,000 ",,"255,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"224,000 ",,"226,000 ",,"226,000 ",,"161,000 ",,"262,000 ",,,,,,,,,,,,,,,
,,Q2,,"227,000 ",,"227,000 ",,"227,000 ",,"166,000 ",,"262,000 ",,,,,,,,,,,,,,,
,,Q3,,"224,000 ",,"242,000 ",,"241,000 ",,"172,000 ",,"277,000 ",,,,,,,,,,,,,,,
,,Q4,,"227,000 ",,"235,000 ",,"234,000 ",,"168,000 ",,"270,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"226,000 ",,"237,000 ",,"236,000 ",,"168,000 ",,"275,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"238,000 ",,"238,000 ",,"174,000 ",,"272,000 ",,,,,,,,,,,,,,,
,,Q3,,"222,000 ",,"245,000 ",,"244,000 ",,"176,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q4,,"201,000 ",,"233,000 ",,"231,000 ",,"164,000 ",,"267,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"193,000 ",,"227,000 ",,"225,000 ",,"161,000 ",,"264,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"226,000 ",,"223,000 ",,"163,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,Q3,,"205,000 ",,"246,000 ",,"244,000 ",,"178,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q4,,"209,000 ",,"244,000 ",,"242,000 ",,"182,000 ",,"272,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"211,000 ",,"265,000 ",,"263,000 ",,"193,000 ",,"296,000 ",,,,,,,,,,,,,,,
,,Q2,,"218,000 ",,"262,000 ",,"259,000 ",,"194,000 ",,"291,000 ",,,,,,,,,,,,,,,
,,Q3,,"218,000 ",,"271,000 ",,"269,000 ",,"196,000 ",,"305,000 ",,,,,,,,,,,,,,,
,,Q4,,"222,000 ",,"259,000 ",,"254,000 ",,"184,000 ",,"289,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"214,000 ",,"261,000 ",,"255,000 ",,"185,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q2,,"225,000 ",,"253,000 ",,"250,000 ",,"187,000 ",,"285,000 ",,,,,,,,,,,,,,,
,,Q3,,"235,000 ",,"266,000 ",,"265,000 ",,"194,000 ",,"300,000 ",,,,,,,,,,,,,,,
,,Q4,,"241,000 ",,"252,000 ",,"252,000 ",,"185,000 ",,"287,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"232,000 ",,"249,000 ",,"249,000 ",,"187,000 ",,"287,000 ",,,,,,,,,,,,,,,
,,Q2,,"235,000 ",,"256,000 ",,"255,000 ",,"190,000 ",,"289,000 ",,,,,,,,,,,,,,,
,,Q3,,"237,000 ",,"266,000 ",,"264,000 ",,"195,000 ",,"304,000 ",,,,,,,,,,,,,,,
,,Q4,,"237,000 ",,"258,000 ",,"256,000 ",,"189,000 ",,"297,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"234,000 ",,"254,000 ",,"253,000 ",,"189,000 ",,"296,000 ",,,,,,,,,,,,,,,
,,Q2,,"250,000 ",,"255,000 ",,"255,000 ",,"197,000 ",,"296,000 ",,,,,,,,,,,,,,,
,,Q3,,"250,000 ",,"272,000 ",,"271,000 ",,"205,000 ",,"314,000 ",,,,,,,,,,,,,,,
,,Q4,,"250,000 ",,"266,000 ",,"264,000 ",,"201,000 ",,"307,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"274,000 ",,"270,000 ",,"271,000 ",,"205,000 ",,"316,000 ",,,,,,,,,,,,,,,
,,Q2,,"294,000 ",,"275,000 ",,"275,000 ",,"210,000 ",,"320,000 ",,,,,,,,,,,,,,,
,,Q3,,"294,000 ",,"290,000 ",,"289,000 ",,"218,000 ",,"337,000 ",,,,,,,,,,,,,,,
,,Q4,,"280,000 ",,"278,000 ",,"276,000 ",,"209,000 ",,"325,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"274,000 ",,"282,000 ",,"281,000 ",,"212,000 ",,"334,000 ",,,,,,,,,,,,,,,
,,Q2,,"294,000 ",,"280,000 ",,"282,000 ",,"212,000 ",,"336,000 ",,,,,,,,,,,,,,,
,,Q3,,"296,000 ",,"305,000 ",,"304,000 ",,"219,000 ",,"363,000 ",,,,,,,,,,,,,,,
,,Q4,,"292,000 ",,"300,000 ",,"296,000 ",,"217,000 ",,"356,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"300,000 ",,"311,000 ",,"310,000 ",,"223,000 ",,"373,000 ",,,,,,,,,,,,,,,
,,Q2,,"293,000 ",,"282,000 ",,"283,000 ",,"220,000 ",,"347,000 ",,,,,,,,,,,,,,,
,,Q3,,"299,000 ",,"302,000 ",,"302,000 ",,"226,000 ",,"369,000 ",,,,,,,,,,,,,,,
,,Q4,,"315,000 ",,"297,000 ",,"299,000 ",,"225,000 ",,"364,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"302,000 ",,"290,000 ",,"292,000 ",,"221,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q2,,"316,000 ",,"294,000 ",,"298,000 ",,"228,000 ",,"362,000 ",,,,,,,,,,,,,,,
,,Q3,,"316,000 ",,"305,000 ",,"306,000 ",,"229,000 ",,"373,000 ",,,,,,,,,,,,,,,
,,Q4,,"319,000 ",,"291,000 ",,"296,000 ",,"225,000 ",,"359,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"316,000 ",,"295,000 ",,"298,000 ",,"227,000 ",,"367,000 ",,,,,,,,,,,,,,,
,,Q2,,"321,000 ",,"292,000 ",,"297,000 ",,"232,000 ",,"362,000 ",,,,,,,,,,,,,,,
,,Q3,,"322,000 ",,"306,000 ",,"308,000 ",,"236,000 ",,"376,000 ",,,,,,,,,,,,,,,
,,Q4,,"314,000 ",,"294,000 ",,"298,000 ",,"231,000 ",,"361,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"313,000 ",,"288,000 ",,"292,000 ",,"227,000 ",,"358,000 ",,,,,,,,,,,,,,,
,,Q2,,"314,000 ",,"289,000 ",,"294,000 ",,"231,000 ",,"359,000 ",,,,,,,,,,,,,,,
,,Q3,,"320,000 ",,"305,000 ",,"307,000 ",,"234,000 ",,"378,000 ",,,,,,,,,,,,,,,
,,Q4,,"319,000 ",,"303,000 ",,"306,000 ",,"235,000 ",,"375,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"324,000 ",,"305,000 ",,"308,000 ",,"237,000 ",,"378,000 ",,,,,,,,,,,,,,,
,,Q2,,"316,000 ",,"292,000 ",,"295,000 ",,"231,000 ",,"366,000 ",,,,,,,,,,,,,,,
,,Q3,,"330,000 ",,"334,000 ",,"333,000 ",,"254,000 ",,"408,000 ",,,,,,,,,,,,,,,
,,Q4,,"336,000 ",,"350,000 ",,"347,000 ",,"262,000 ",,"417,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"345,000 ",,"367,000 ",,"364,000 ",,"273,000 ",,"427,000 ",,,,,,,,,,,,,,,
,,Q2,,"338,000 ",,"366,000 ",,"362,000 ",,"272,000 ",,"435,000 ",,,,,,,,,,,,,,,
,,Q3,,"305,000 ",,"311,000 ",,"311,000 ",,"236,000 ",,"386,000 ",,,,,,,,,,,,,,,
,,Q4,,"319,000 ",,"333,000 ",,"330,000 ",,"247,000 ",,"433,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"338,000 ",,"351,000 ",,"349,000 ",,"261,000 ",,"444,000 ",,,,,,,,,,,,,,,
,,Q2,,"340,000 ",,"360,000 ",,"356,000 ",,"272,000 ",,"451,000 ",,,,,,,,,,,,,,,
,,Q3,,"346,000 ",,"380,000 ",,"375,000 ",,"282,000 ",,"473,000 ",,,,,,,,,,,,,,,
,,Q4,,"339,000 ",,"366,000 ",,"361,000 ",,"277,000 ",,"454,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"336,000 ",,"347,000 ",,"345,000 ",,"266,000 ",,"436,000 ",,,,,,,,,,,,,,,
,,Q2,,"333,000 ",,"351,000 ",,"348,000 ",,"268,000 ",,"436,000 ",,,,,,,,,,,,,,,
,,Q3,,"326,000 ",,"368,000 ",,"363,000 ",,"276,000 ",,"455,000 ",,,,,,,,,,,,,,,
,,Q4,,"320,000 ",,"348,000 ",,"344,000 ",,"265,000 ",,"433,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"75,000 ",,"47,000 ",,"49,000 ",,"39,000 ",,"58,000 ",,,,,,,,,,,,,,,
,,Q3,,"66,000 ",,"44,000 ",,"47,000 ",,"35,000 ",,"58,000 ",,,,,,,,,,,,,,,
,,Q4,,"72,000 ",,"44,000 ",,"46,000 ",,"33,000 ",,"63,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"69,000 ",,"44,000 ",,"47,000 ",,"37,000 ",,"60,000 ",,,,,,,,,,,,,,,
,,Q2,,"81,000 ",,"45,000 ",,"48,000 ",,"38,000 ",,"61,000 ",,,,,,,,,,,,,,,
,,Q3,,"76,000 ",,"49,000 ",,"51,000 ",,"40,000 ",,"65,000 ",,,,,,,,,,,,,,,
,,Q4,,"69,000 ",,"44,000 ",,"48,000 ",,"34,000 ",,"62,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"73,000 ",,"45,000 ",,"48,000 ",,"37,000 ",,"64,000 ",,,,,,,,,,,,,,,
,,Q2,,"71,000 ",,"46,000 ",,"49,000 ",,"35,000 ",,"66,000 ",,,,,,,,,,,,,,,
,,Q3,,"68,000 ",,"45,000 ",,"47,000 ",,"37,000 ",,"64,000 ",,,,,,,,,,,,,,,
,,Q4,,"81,000 ",,"47,000 ",,"52,000 ",,"37,000 ",,"68,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"70,000 ",,"41,000 ",,"43,000 ",,"33,000 ",,"59,000 ",,,,,,,,,,,,,,,
,,Q2,,"66,000 ",,"45,000 ",,"47,000 ",,"35,000 ",,"63,000 ",,,,,,,,,,,,,,,
,,Q3,,"70,000 ",,"45,000 ",,"48,000 ",,"35,000 ",,"66,000 ",,,,,,,,,,,,,,,
,,Q4,,"68,000 ",,"44,000 ",,"47,000 ",,"33,000 ",,"65,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"68,000 ",,"47,000 ",,"50,000 ",,"35,000 ",,"69,000 ",,,,,,,,,,,,,,,
,,Q2,,"77,000 ",,"48,000 ",,"53,000 ",,"39,000 ",,"68,000 ",,,,,,,,,,,,,,,
,,Q3,,"78,000 ",,"49,000 ",,"52,000 ",,"35,000 ",,"70,000 ",,,,,,,,,,,,,,,
,,Q4,,"70,000 ",,"46,000 ",,"48,000 ",,"36,000 ",,"65,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"74,000 ",,"47,000 ",,"50,000 ",,"35,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q2,,"72,000 ",,"51,000 ",,"53,000 ",,"39,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"50,000 ",,"52,000 ",,"36,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q4,,"81,000 ",,"50,000 ",,"55,000 ",,"37,000 ",,"71,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"72,000 ",,"50,000 ",,"53,000 ",,"38,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q2,,"68,000 ",,"55,000 ",,"57,000 ",,"44,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q3,,"84,000 ",,"53,000 ",,"56,000 ",,"47,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q4,,"80,000 ",,"53,000 ",,"57,000 ",,"45,000 ",,"67,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"83,000 ",,"55,000 ",,"58,000 ",,"47,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q2,,"88,000 ",,"58,000 ",,"63,000 ",,"52,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q3,,"91,000 ",,"60,000 ",,"63,000 ",,"48,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"79,000 ",,"59,000 ",,"62,000 ",,"45,000 ",,"80,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"91,000 ",,"54,000 ",,"58,000 ",,"47,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q2,,"90,000 ",,"64,000 ",,"67,000 ",,"56,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q3,,"90,000 ",,"61,000 ",,"64,000 ",,"50,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q4,,"94,000 ",,"60,000 ",,"65,000 ",,"51,000 ",,"78,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"91,000 ",,"59,000 ",,"62,000 ",,"48,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q2,,"96,000 ",,"68,000 ",,"69,000 ",,"54,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q3,,"107,000 ",,"68,000 ",,"71,000 ",,"53,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q4,,"122,000 ",,"70,000 ",,"75,000 ",,"57,000 ",,"85,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"116,000 ",,"64,000 ",,"69,000 ",,"53,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q2,,"107,000 ",,"73,000 ",,"77,000 ",,"58,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"120,000 ",,"75,000 ",,"80,000 ",,"55,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q4,,"144,000 ",,"81,000 ",,"87,000 ",,"67,000 ",,"100,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"135,000 ",,"78,000 ",,"82,000 ",,"63,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q2,,"147,000 ",,"92,000 ",,"96,000 ",,"64,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q3,,"162,000 ",,"103,000 ",,"107,000 ",,"63,000 ",,"118,000 ",,,,,,,,,,,,,,,
,,Q4,,"170,000 ",,"108,000 ",,"111,000 ",,"70,000 ",,"124,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"174,000 ",,"109,000 ",,"110,000 ",,"68,000 ",,"128,000 ",,,,,,,,,,,,,,,
,,Q2,,"181,000 ",,"123,000 ",,"126,000 ",,"80,000 ",,"138,000 ",,,,,,,,,,,,,,,
,,Q3,,"174,000 ",,"131,000 ",,"133,000 ",,"88,000 ",,"146,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"131,000 ",,"136,000 ",,"89,000 ",,"150,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"163,000 ",,"131,000 ",,"132,000 ",,"89,000 ",,"147,000 ",,,,,,,,,,,,,,,
,,Q2,,"193,000 ",,"134,000 ",,"138,000 ",,"96,000 ",,"151,000 ",,,,,,,,,,,,,,,
,,Q3,,"196,000 ",,"135,000 ",,"139,000 ",,"99,000 ",,"155,000 ",,,,,,,,,,,,,,,
,,Q4,,"185,000 ",,"129,000 ",,"131,000 ",,"91,000 ",,"164,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"183,000 ",,"129,000 ",,"131,000 ",,"89,000 ",,"166,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"136,000 ",,"139,000 ",,"98,000 ",,"167,000 ",,,,,,,,,,,,,,,
,,Q3,,"182,000 ",,"144,000 ",,"147,000 ",,"101,000 ",,"177,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"145,000 ",,"149,000 ",,"101,000 ",,"179,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"195,000 ",,"146,000 ",,"148,000 ",,"103,000 ",,"177,000 ",,,,,,,,,,,,,,,
,,Q2,,"197,000 ",,"147,000 ",,"150,000 ",,"108,000 ",,"175,000 ",,,,,,,,,,,,,,,
,,Q3,,"188,000 ",,"153,000 ",,"155,000 ",,"109,000 ",,"181,000 ",,,,,,,,,,,,,,,
,,Q4,,"197,000 ",,"152,000 ",,"156,000 ",,"109,000 ",,"183,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"197,000 ",,"152,000 ",,"154,000 ",,"108,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q2,,"200,000 ",,"159,000 ",,"162,000 ",,"114,000 ",,"189,000 ",,,,,,,,,,,,,,,
,,Q3,,"207,000 ",,"157,000 ",,"161,000 ",,"115,000 ",,"183,000 ",,,,,,,,,,,,,,,
,,Q4,,"188,000 ",,"154,000 ",,"157,000 ",,"113,000 ",,"179,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"167,000 ",,"152,000 ",,"153,000 ",,"110,000 ",,"181,000 ",,,,,,,,,,,,,,,
,,Q2,,"178,000 ",,"147,000 ",,"150,000 ",,"112,000 ",,"173,000 ",,,,,,,,,,,,,,,
,,Q3,,"190,000 ",,"155,000 ",,"158,000 ",,"113,000 ",,"179,000 ",,,,,,,,,,,,,,,
,,Q4,,"185,000 ",,"165,000 ",,"167,000 ",,"122,000 ",,"189,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"182,000 ",,"159,000 ",,"160,000 ",,"115,000 ",,"183,000 ",,,,,,,,,,,,,,,
,,Q2,,"181,000 ",,"164,000 ",,"165,000 ",,"116,000 ",,"189,000 ",,,,,,,,,,,,,,,
,,Q3,,"166,000 ",,"164,000 ",,"165,000 ",,"114,000 ",,"190,000 ",,,,,,,,,,,,,,,
,,Q4,,"180,000 ",,"154,000 ",,"156,000 ",,"113,000 ",,"178,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"158,000 ",,"157,000 ",,"154,000 ",,"108,000 ",,"181,000 ",,,,,,,,,,,,,,,
,,Q2,,"173,000 ",,"154,000 ",,"155,000 ",,"108,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q3,,"169,000 ",,"151,000 ",,"153,000 ",,"112,000 ",,"177,000 ",,,,,,,,,,,,,,,
,,Q4,,"173,000 ",,"148,000 ",,"151,000 ",,"110,000 ",,"174,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"166,000 ",,"146,000 ",,"148,000 ",,"110,000 ",,"170,000 ",,,,,,,,,,,,,,,
,,Q2,,"160,000 ",,"152,000 ",,"152,000 ",,"109,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q3,,"167,000 ",,"157,000 ",,"158,000 ",,"111,000 ",,"185,000 ",,,,,,,,,,,,,,,
,,Q4,,"171,000 ",,"148,000 ",,"152,000 ",,"110,000 ",,"179,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"176,000 ",,"148,000 ",,"152,000 ",,"112,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q2,,"173,000 ",,"152,000 ",,"155,000 ",,"113,000 ",,"183,000 ",,,,,,,,,,,,,,,
,,Q3,,"181,000 ",,"155,000 ",,"157,000 ",,"110,000 ",,"187,000 ",,,,,,,,,,,,,,,
,,Q4,,"185,000 ",,"150,000 ",,"154,000 ",,"112,000 ",,"182,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"195,000 ",,"151,000 ",,"154,000 ",,"112,000 ",,"183,000 ",,,,,,,,,,,,,,,
,,Q2,,"185,000 ",,"157,000 ",,"160,000 ",,"117,000 ",,"191,000 ",,,,,,,,,,,,,,,
,,Q3,,"189,000 ",,"162,000 ",,"165,000 ",,"121,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q4,,"187,000 ",,"162,000 ",,"167,000 ",,"123,000 ",,"199,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"187,000 ",,"162,000 ",,"165,000 ",,"119,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q2,,"186,000 ",,"162,000 ",,"166,000 ",,"126,000 ",,"199,000 ",,,,,,,,,,,,,,,
,,Q3,,"200,000 ",,"169,000 ",,"173,000 ",,"125,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q4,,"188,000 ",,"164,000 ",,"167,000 ",,"123,000 ",,"205,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"196,000 ",,"161,000 ",,"165,000 ",,"122,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q2,,"197,000 ",,"159,000 ",,"165,000 ",,"128,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q3,,"206,000 ",,"167,000 ",,"171,000 ",,"130,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q4,,"205,000 ",,"167,000 ",,"172,000 ",,"131,000 ",,"212,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"209,000 ",,"157,000 ",,"165,000 ",,"126,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q2,,"215,000 ",,"159,000 ",,"169,000 ",,"128,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q3,,"218,000 ",,"160,000 ",,"168,000 ",,"129,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q4,,"216,000 ",,"157,000 ",,"168,000 ",,"127,000 ",,"210,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"215,000 ",,"153,000 ",,"163,000 ",,"123,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q2,,"213,000 ",,"157,000 ",,"168,000 ",,"130,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q3,,"227,000 ",,"162,000 ",,"173,000 ",,"130,000 ",,"215,000 ",,,,,,,,,,,,,,,
,,Q4,,"216,000 ",,"158,000 ",,"171,000 ",,"133,000 ",,"211,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"225,000 ",,"154,000 ",,"166,000 ",,"129,000 ",,"208,000 ",,,,,,,,,,,,,,,
,,Q2,,"220,000 ",,"157,000 ",,"170,000 ",,"134,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q3,,"235,000 ",,"162,000 ",,"173,000 ",,"131,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q4,,"232,000 ",,"160,000 ",,"175,000 ",,"132,000 ",,"220,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"239,000 ",,"156,000 ",,"170,000 ",,"128,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q2,,"222,000 ",,"157,000 ",,"166,000 ",,"130,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q3,,"230,000 ",,"177,000 ",,"186,000 ",,"142,000 ",,"232,000 ",,,,,,,,,,,,,,,
,,Q4,,"246,000 ",,"186,000 ",,"198,000 ",,"149,000 ",,"240,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"248,000 ",,"191,000 ",,"201,000 ",,"146,000 ",,"247,000 ",,,,,,,,,,,,,,,
,,Q2,,"238,000 ",,"196,000 ",,"203,000 ",,"147,000 ",,"255,000 ",,,,,,,,,,,,,,,
,,Q3,,"239,000 ",,"174,000 ",,"183,000 ",,"141,000 ",,"228,000 ",,,,,,,,,,,,,,,
,,Q4,,"240,000 ",,"166,000 ",,"181,000 ",,"141,000 ",,"231,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"261,000 ",,"174,000 ",,"188,000 ",,"142,000 ",,"242,000 ",,,,,,,,,,,,,,,
,,Q2,,"241,000 ",,"181,000 ",,"194,000 ",,"149,000 ",,"248,000 ",,,,,,,,,,,,,,,
,,Q3,,"260,000 ",,"194,000 ",,"204,000 ",,"153,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q4,,"253,000 ",,"190,000 ",,"204,000 ",,"157,000 ",,"257,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"269,000 ",,"182,000 ",,"195,000 ",,"147,000 ",,"250,000 ",,,,,,,,,,,,,,,
,,Q2,,"254,000 ",,"185,000 ",,"200,000 ",,"152,000 ",,"254,000 ",,,,,,,,,,,,,,,
,,Q3,,"269,000 ",,"194,000 ",,"205,000 ",,"155,000 ",,"260,000 ",,,,,,,,,,,,,,,
,,Q4,,"257,000 ",,"189,000 ",,"201,000 ",,"151,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West ,,,,,,,,,,,,,,,,,,,,,,,,,,,
